iata,icao,name,city,country,lat,lon,elev_m,tz
FKI,FZIC,Bangoka International Airport,Kisangani,CD,0.48164,25.33800,432,Africa/Lubumbashi
FKQ,WASF,Fakfak Airport,Fakfak,ID,-2.92051,132.26701,141,Asia/Jayapura
FKS,RJSF,Fukushima Airport,Sukagawa,JP,37.22740,140.43100,372,Asia/Tokyo
FLA,SKFL,Gustavo Artunduaga Paredes Airport,Florencia,CO,1.58919,-75.56440,245,America/Bogota
FLG,KFLG,Flagstaff Pulliam Airport,Flagstaff,US,35.13976,-111.66983,2138,America/Phoenix
FLL,KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,US,26.07260,-80.15270,3,America/New_York
FLN,SBFL,Hercílio Luz International Airport,Florianópolis,BR,-27.67028,-48.55250,5,America/Sao_Paulo
FLO,KFLO,Florence Regional Airport,Florence,US,34.18540,-79.72390,45,America/New_York
FLR,LIRQ,"Florence Airport, Peretola",Firenze (FI),IT,43.80856,11.20282,43,Europe/Rome
FLW,LPFL,Flores Airport,Santa Cruz das Flores,PT,39.45530,-31.13140,34,Atlantic/Azores
FLZ,WIMS,Dr. Ferdinand Lumban Tobing Airport,Sibolga (Pinangsori),ID,1.55713,98.88715,10,Asia/Jakarta
FMA,SARF,Formosa National Airport,Formosa,AR,-26.21270,-58.22810,59,America/Argentina/Cordoba
FMI,FZRF,Kalemie Airport,Kalemie,CD,-5.87556,29.25000,783,Africa/Lubumbashi
FMM,EDJA,Memmingen Allgau Airport,Memmingen,DE,47.98809,10.23825,633,Europe/Berlin
FMO,EDDG,Münster Osnabrück Airport,Greven,DE,52.13382,7.68848,49,Europe/Berlin
FNA,GFLL,Lungi International Airport,Freetown (Lungi-Town),SL,8.61644,-13.19550,26,Africa/Freetown
FNC,LPMA,Cristiano Ronaldo International Airport,Funchal,PT,32.69781,-16.77461,59,Atlantic/Madeira
FNI,LFTW,Nîmes-Arles-Camargue Airport,Nîmes/Garons,FR,43.75740,4.41635,94,Europe/Paris
FNJ,ZKPY,Pyongyang Sunan International Airport,Pyongyang,KP,39.22410,125.67000,36,Asia/Pyongyang
FNT,KFNT,Bishop International Airport,Flint,US,42.96929,-83.74335,238,America/Detroit
FOC,ZSFZ,Fuzhou Changle International Airport,Fuzhou (Changle),CN,25.92925,119.67252,14,Asia/Shanghai
FOD,KFOD,Fort Dodge Regional Airport,Fort Dodge,US,42.55262,-94.19124,352,America/Chicago
FOG,LIBF,Foggia Gino Lisa Airport,Foggia (FG),IT,41.43360,15.53457,81,Europe/Rome
FON,MRAN,La Fortuna Arenal Airport,La Fortuna,CR,10.46931,-84.57907,104,America/Costa_Rica
FOR,SBFZ,Pinto Martins International Airport,Fortaleza,BR,-3.77583,-38.53222,25,America/Fortaleza
FPO,MYGF,Grand Bahama International Airport,Freeport,BS,26.55800,-78.69558,2,America/Nassau
FRA,EDDF,Frankfurt Main Airport,Frankfurt am Main,DE,50.02671,8.55835,111,Europe/Berlin
FRD,KFHR,Friday Harbor Airport,Friday Harbor,US,48.52365,-123.02465,34,America/Los_Angeles
FRL,LIPK,Forlì-Luigi Ridolfi International Airport,Forlì (FC),IT,44.19480,12.07010,30,Europe/Rome
FRO,ENFL,Florø Airport,Florø,NO,61.58360,5.02472,11,Europe/Oslo
FRS,MGMM,Mundo Maya International Airport,San Benito,GT,16.91371,-89.86614,130,America/Guatemala
FRW,FBPM,Phillip Gaonwe Matante International Airport,Francistown,BW,-21.15918,27.46883,1001,Africa/Gaborone
FSC,LFKF,Figari Sud-Corse Airport,Figari,FR,41.50185,9.09709,26,Europe/Paris
FSD,KFSD,Sioux Falls Regional Airport,Sioux Falls,US,43.58546,-96.74115,436,America/Chicago
FSM,KFSM,Fort Smith Regional Airport,Fort Smith,US,35.33660,-94.36740,143,America/Chicago
FSP,LFVP,Saint-Pierre Pointe-Blanche Airport,Saint-Pierre,PM,46.76265,-56.17499,8,America/Miquelon
FSZ,RJNS,Mount Fuji Shizuoka Airport,Makinohara / Shimada,JP,34.79502,138.19098,132,Asia/Tokyo
FTE,SAWC,El Calafate - Commander Armando Tola International Airport,El Calafate,AR,-50.28027,-72.05340,204,America/Argentina/Rio_Gallegos
FTU,FMSD,Tôlanaro Airport,Tôlanaro,MG,-25.03810,46.95610,9,Indian/Antananarivo
FTW,KFTW,Fort Worth Meacham International Airport,Fort Worth,US,32.81992,-97.36082,216,America/Chicago
FUE,GCFV,Fuerteventura Airport,El Matorral,ES,28.45270,-13.86380,26,Atlantic/Canary
FUG,ZSFY,Fuyang Xiguan Airport,"Yingzhou, Fuyang",CN,32.88216,115.73436,32,Asia/Shanghai
FUJ,RJFE,Fukue Airport,Goto,JP,32.66630,128.83299,83,Asia/Tokyo
FUK,RJFF,Fukuoka Airport,Fukuoka,JP,33.58590,130.45100,10,Asia/Tokyo
FUN,NGFU,Funafuti International Airport,Funafuti,TV,-8.52388,179.19698,3,Pacific/Funafuti
FUO,ZGFS,Foshan Shadi Airport,Foshan (Nanhai),CN,23.08250,113.07083,2,Asia/Shanghai
FWA,KFWA,Fort Wayne International Airport,Fort Wayne,US,40.97890,-85.19446,248,America/Indiana/Indianapolis
FYJ,ZYFY,Fuyuan Dongji Airport,Fuyuan,CN,48.19722,134.36298,0,Asia/Shanghai
FYN,ZWFY,Fuyun Koktokay Airport,Fuyun,CN,46.80417,89.51201,939,Asia/Urumqi
FYU,PFYU,Fort Yukon Airport,Fort Yukon,US,66.57165,-145.24999,132,America/Anchorage
GAJ,RJSC,Yamagata Airport,Higashine,JP,38.41190,140.37100,108,Asia/Tokyo
GAL,PAGA,Edward G. Pitka Sr Airport,Galena,US,64.73620,-156.93700,47,America/Anchorage
GAM,PAGM,Gambell Airport,Gambell,US,63.76769,-171.73330,8,America/Nome
GAN,VRMG,Gan International Airport,Gan,MV,-0.69298,73.15263,2,Indian/Maldives
GAQ,GAGO,Gao International Airport,Gao,ML,16.24847,-0.00539,265,Africa/Bamako
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN,26.10665,91.58523,49,Asia/Kolkata
GAY,VEGY,Gaya Airport,Gaya,IN,24.74430,84.95120,116,Asia/Kolkata
GBB,UBBQ,Gabala International Airport,Gabala,AZ,40.80862,47.72539,285,Asia/Baku
GBE,FBSK,Sir Seretse Khama International Airport,Gaborone,BW,-24.55520,25.91820,1006,Africa/Gaborone
GBJ,TFFM,Marie-Galante Airport,Grand-Bourg,GP,15.86893,-61.27009,5,America/Guadeloupe
