iata,icao,name,city,country,lat,lon,elev_m,tz
STC,KSTC,Saint Cloud Regional Airport,Saint Cloud,US,45.54660,-94.05990,314,America/Chicago
STD,SVSO,Mayor Buenaventura Vivas International Airport,Santo Domingo,VE,7.56538,-72.03510,330,America/Caracas
STG,PAPB,St George Airport,St George,US,56.57735,-169.66382,38,America/Nome
STI,MDST,Cibao International Airport,Santiago,DO,19.40406,-70.60443,172,America/Santo_Domingo
STL,KSTL,St. Louis Lambert International Airport,St Louis,US,38.74870,-90.37000,188,America/Chicago
STM,SBSN,Santarém - Maestro Wilson Fonseca International Airport,Santarém,BR,-2.42242,-54.79306,60,America/Santarem
STN,EGSS,London Stansted Airport,"London, Essex",GB,51.88500,0.23500,106,Europe/London
STR,EDDS,Stuttgart Airport,Stuttgart,DE,48.68990,9.22196,389,Europe/Berlin
STS,KSTS,Charles M. Schulz Sonoma County Airport,Santa Rosa,US,38.50900,-122.81300,39,America/Los_Angeles
STT,TIST,Cyril E. King Airport,Charlotte Amalie,VI,18.33709,-64.97725,7,America/St_Thomas
STV,VASU,Surat International Airport,Surat,IN,21.11553,72.74325,5,Asia/Kolkata
STW,URMT,Stavropol Shpakovskoye Airport,Stavropol,RU,45.10920,42.11280,453,Europe/Moscow
STX,TISX,Henry E. Rohlsen Airport,Christiansted,VI,17.70141,-64.80261,23,America/St_Thomas
SUB,WARR,Juanda International Airport,Surabaya,ID,-7.37983,112.78700,3,Asia/Jakarta
SUF,LICA,Lamezia Terme Sant'Eufemia International Airport,Lamezia Terme (CZ),IT,38.90621,16.24601,12,Europe/Rome
SUG,RPMS,Surigao Airport,Surigao City,PH,9.75584,125.48095,6,Asia/Manila
SUI,UGSS,Vladislav Ardzinba Sukhum International Airport,Sukhumi,GE,42.85820,41.12810,16,Asia/Tbilisi
SUJ,LRSM,Satu Mare International Airport,Satu Mare,RO,47.70330,22.88570,123,Europe/Bucharest
SUN,KSUN,Friedman Memorial Airport,Hailey,US,43.50440,-114.29600,1621,America/Boise
SUV,NFNA,Nausori International Airport,Nausori,FJ,-18.04423,178.56149,5,Pacific/Fiji
SUX,KSUX,Sioux Gateway Airport / Brigadier General Bud Day Field,Sioux City,US,42.39760,-96.38224,335,America/Chicago
SVA,PASA,Savoonga Airport,Savoonga,US,63.68640,-170.49300,16,America/Nome
SVB,FMNS,Sambava Airport,Sambava,MG,-14.27860,50.17470,6,Indian/Antananarivo
SVC,KSVC,Grant County Airport,Silver City,US,32.63670,-108.15474,1660,America/Denver
SVD,TVSA,Argyle International Airport,Kingstown,VC,13.15972,-61.14880,41,America/St_Vincent
SVG,ENZV,"Stavanger Airport, Sola",Stavanger,NO,58.87670,5.63778,9,Europe/Oslo
SVI,SKSV,Eduardo Falla Solano Airport,San Vicente Del Caguán,CO,2.15217,-74.76630,280,America/Bogota
SVJ,ENSH,"Svolvær Airport, Helle",Svolvær,NO,68.24330,14.66920,8,Europe/Oslo
SVL,EFSA,Savonlinna Airport,Savonlinna,FI,61.94310,28.94510,95,Europe/Helsinki
SVO,UUEE,Sheremetyevo International Airport,Moscow,RU,55.97686,37.41121,190,Europe/Moscow
SVQ,LEZL,Seville Airport,Seville,ES,37.41800,-5.89311,34,Europe/Madrid
SVX,USSS,Koltsovo Airport,Yekaterinburg,RU,56.74310,60.80270,233,Asia/Yekaterinburg
SVZ,SVSA,Juan Vicente Gómez International Airport,San Antonio del Tachira,VE,7.84081,-72.43988,400,America/Caracas
SWA,ZGOW,Jieyang Chaoshan International Airport,Jieyang (Rongcheng),CN,23.55200,116.50330,0,Asia/Shanghai
SWF,KSWF,New York Stewart International Airport,Newburgh,US,41.50421,-74.10890,150,America/New_York
SWO,KSWO,Stillwater Regional Airport,Stillwater,US,36.16213,-97.08558,305,America/Chicago
SXB,LFST,Strasbourg Airport,Strasbourg,FR,48.53830,7.62823,154,Europe/Paris
SXM,TNCM,Princess Juliana International Airport,Sint Maarten,SX,18.04100,-63.10890,4,America/Lower_Princes
SXR,VISR,Srinagar International Airport,Srinagar,IN,33.98710,74.77420,1655,Asia/Kolkata
SYD,YSSY,Sydney Kingsford Smith International Airport,Sydney (Mascot),AU,-33.94610,151.17700,6,Australia/Sydney
SYO,RJSY,Shonai Airport,Shonai,JP,38.81220,139.78700,26,Asia/Tokyo
SYQ,MRPV,Tobías Bolaños International Airport,San Jose,CR,9.95705,-84.13980,1002,America/Costa_Rica
SYR,KSYR,Syracuse Hancock International Airport,Syracuse,US,43.11120,-76.10630,128,America/New_York
SYS,UERS,Saskylakh Airport,Saskylakh,RU,71.92790,114.08000,0,Asia/Yakutsk
SYX,ZJSY,Sanya Phoenix International Airport,Sanya (Tianya),CN,18.30290,109.41200,28,Asia/Shanghai
SYY,EGPO,Stornoway Airport,"Stornoway, Western Isles",GB,58.21560,-6.33111,8,Europe/London
SYZ,OISS,Shiraz Shahid Dastghaib International Airport,Shiraz,IR,29.53920,52.58980,1502,Asia/Tehran
SZA,FNSO,Soyo Airport,Soyo,AO,-6.14109,12.37180,5,Africa/Luanda
SZB,WMSA,Sultan Abdul Aziz Shah International Airport,Subang,MY,3.13058,101.54900,27,Asia/Kuala_Lumpur
SZF,LTFH,Samsun-Çarşamba Airport,Samsun,TR,41.25399,36.56755,5,Europe/Istanbul
SZG,LOWS,Salzburg Airport,Salzburg,AT,47.79330,13.00430,430,Europe/Vienna
SZH,ZBSG,Shuozhou Zirun Airport,Shuozhou,CN,39.27324,112.69155,0,Asia/Shanghai
SZK,FASZ,Skukuza Airport,Skukuza,ZA,-24.96085,31.58859,311,Africa/Johannesburg
SZX,ZGSZ,Shenzhen Bao'an International Airport,Shenzhen,CN,22.63947,113.80326,4,Asia/Shanghai
SZY,EPSY,Olsztyn-Mazury Airport,Szymany,PL,53.48190,20.93770,141,Europe/Warsaw
SZZ,EPSC,Solidarity Szczecin–Goleniów Airport,Szczecin(Glewice),PL,53.58470,14.90220,47,Europe/Warsaw
TAB,TTCP,A.N.R. Robinson International Airport,Scarborough,TT,11.14957,-60.83130,12,America/Port_of_Spain
TAC,RPVA,Daniel Z. Romualdez Airport,Tacloban City,PH,11.22776,125.02778,3,Asia/Manila
TAE,RKTN,Daegu International Airport,Daegu,KR,35.89439,128.65699,35,Asia/Seoul
TAG,RPSP,Bohol-Panglao International Airport,Panglao,PH,9.57305,123.77014,13,Asia/Manila
TAH,NVVW,Whitegrass Airport,Tanna Island,VU,-19.45510,169.22400,6,Pacific/Efate
TAI,OYTZ,Taiz International Airport,Taiz,YE,13.68600,44.13910,1475,Asia/Aden
TAK,RJOT,Takamatsu Airport,Takamatsu,JP,34.21496,134.01545,185,Asia/Tokyo
TAM,MMTM,General Francisco Javier Mina International Airport,Ciudad Madero,MX,22.29262,-97.86706,24,America/Monterrey
TAO,ZSQD,Qingdao Jiaodong International Airport,Qingdao (Jiaozhou),CN,36.36195,120.08817,9,Asia/Shanghai
TAP,MMTP,Tapachula International Airport,Tapachula,MX,14.79455,-92.36987,30,America/Mexico_City
TAS,UZTT,Tashkent International Airport,Tashkent,UZ,41.25790,69.28120,432,Asia/Tashkent
TAT,LZTT,Poprad-Tatry Airport,Poprad,SK,49.07099,20.24139,718,Europe/Bratislava
TAY,EETU,Tartu Airport,Tartu,EE,58.30744,26.68647,67,Europe/Tallinn
TAZ,UTAT,Dashoguz International Airport,Daşoguz,TM,41.75985,59.83615,83,Asia/Ashgabat
TBB,VVTH,Dong Tac Airport,Tuy Hoa,VN,13.04960,109.33400,6,Asia/Ho_Chi_Minh
TBH,RPVU,Tugdan Airport,Tablas Island,PH,12.31100,122.08500,3,Asia/Manila
TBI,MYCB,New Bight Airport,Cat Island,BS,24.31530,-75.45230,2,America/Nassau
TBJ,DTKA,Tabarka-Aïn Draham International Airport,Tabarka,TN,36.98000,8.87694,70,Africa/Tunis
TBN,KTBN,Waynesville-St. Robert Regional Airport-Forney Field,Fort Leonard Wood,US,37.74160,-92.14070,353,America/Chicago
TBP,SPME,Captain Pedro Canga Rodríguez International Airport,Tumbes,PE,-3.55207,-80.38109,35,America/Lima
TBS,UGTB,Tbilisi International Airport,Tbilisi,GE,41.66920,44.95470,495,Asia/Tbilisi
TBT,SBTT,Tabatinga International Airport,Tabatinga,BR,-4.25567,-69.93580,80,America/Manaus
TBU,NFTF,Fua'amotu International Airport,Nuku'alofa,TO,-21.24144,-175.14916,38,Pacific/Tongatapu
TBZ,OITT,Tabriz International Airport,Tabriz,IR,38.13390,46.23500,1359,Asia/Tehran
TCA,YTNK,Tennant Creek Airport,Tennant Creek,AU,-19.63440,134.18300,377,Australia/Darwin
TCB,MYAT,Treasure Cay Airport,Treasure Cay,BS,26.74530,-77.39130,2,America/Nassau
TCO,SKCO,La Florida Airport,Tumaco,CO,1.81442,-78.74920,2,America/Bogota
TCP,HETB,Taba International Airport,Taba,EG,29.59450,34.77575,739,Africa/Cairo
TCQ,SPTN,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Tacna,PE,-18.05330,-70.27580,469,America/Lima
TCZ,ZPTC,Tengchong Tuofeng Airport,Baoshan (Tengchong),CN,24.93806,98.48583,1905,Asia/Shanghai
TDD,SLTR,Teniente Av. Jorge Henrich Arauz Airport,Trinidad,BO,-14.81870,-64.91800,155,America/La_Paz
TDK,UAAT,Taldykorgan Airport,Taldykorgan,KZ,45.12255,78.44276,587,Asia/Almaty
TDX,VTBO,Trat Airport,Laem Ngop,TH,12.27460,102.31900,32,Asia/Bangkok
TEB,KTEB,Teterboro Airport,Teterboro,US,40.85010,-74.06080,3,America/New_York
TEE,DABS,Cheikh Larbi Tébessi Airport,Tébessi,DZ,35.43160,8.12072,811,Africa/Algiers
TEN,ZUTR,Tongren Fenghuang Airport,Tongren (Daxing),CN,27.88333,109.30889,0,Asia/Shanghai
TEQ,LTBU,Tekirdağ Çorlu Airport,Çorlu,TR,41.13820,27.91910,175,Europe/Istanbul
TER,LPLA,Lajes Airport,Praia da Vitória,PT,38.76180,-27.09080,55,Atlantic/Azores
TET,FQTT,Tete Airport,Tete,MZ,-16.10480,33.64020,160,Africa/Maputo
TEX,KTEX,Telluride Regional Airport,Telluride,US,37.95380,-107.90800,2765,America/Denver
TEZ,VETZ,Tezpur Airport,,IN,26.70910,92.78470,73,Asia/Kolkata
TFF,SBTF,Tefé Airport,Tefé,BR,-3.38294,-64.72410,57,America/Manaus
TFN,GCXO,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,28.48275,-16.34171,633,Atlantic/Canary
TFS,GCTS,Tenerife Sur Airport,Tenerife,ES,28.04450,-16.57250,64,Atlantic/Canary
TFU,ZUTF,Chengdu Tianfu International Airport,Chengdu (Jianyang),CN,30.31252,104.44128,439,Asia/Shanghai
TGD,LYPG,Podgorica Airport / Podgorica Golubovci Airbase,Podgorica,ME,42.35940,19.25190,43,Europe/Podgorica
TGG,WMKN,Sultan Mahmud Airport,Kuala Terengganu,MY,5.38264,103.10300,6,Asia/Kuala_Lumpur
TGJ,NWWA,Tiga Airport,Tiga,NC,-21.09641,167.80379,39,Pacific/Noumea
TGM,LRTM,Târgu Mureş Transilvania International Airport,Recea,RO,46.46770,24.41250,294,Europe/Bucharest
TGO,ZBTL,Tongliao Airport,Tongliao,CN,43.55670,122.20000,730,Asia/Shanghai
TGR,DAUK,Touggourt Sidi Madhi Airport,Touggourt,DZ,33.06780,6.08867,85,Africa/Algiers
TGT,HTTG,Tanga Airport,Tanga,TZ,-5.09236,39.07120,39,Africa/Dar_es_Salaam
TGU,MHTG,Toncontín Airport,Tegucigalpa,HN,14.06090,-87.21720,1004,America/Tegucigalpa
TGZ,MMTG,Angel Albino Corzo International Airport,Tuxtla Gutiérrez,MX,16.56161,-93.02573,457,America/Mexico_City
THE,SBTE,Senador Petrônio Portela Airport,Teresina,BR,-5.06025,-42.82371,67,America/Fortaleza
THG,YTNG,Thangool Airport,Biloela,AU,-24.49486,150.57797,196,Australia/Brisbane
THL,VYTL,Tachileik Airport,Tachileik,MM,20.48380,99.93540,390,Asia/Yangon
THN,ESGT,Trollhättan-Vänersborg Airport,Trollhättan,SE,58.31810,12.34500,42,Europe/Stockholm
THQ,ZLTS,Tianshui Maijishan Airport,Tianshui (Maiji),CN,34.56010,105.86034,1094,Asia/Shanghai
THR,OIII,Mehrabad International Airport,Tehran,IR,35.68917,51.31439,1208,Asia/Tehran
THS,VTPO,Sukhothai Airport,,TH,17.23800,99.81820,55,Asia/Bangkok
TIA,LATI,Tirana International Airport Mother Teresa,Rinas,AL,41.41470,19.72060,38,Europe/Tirane
TIF,OETF,Taif International Airport,Taif,SA,21.48474,40.54407,1478,Asia/Riyadh
TIH,NTGC,Tikehau Airport,Tuherahera,PF,-15.11960,-148.23100,2,Pacific/Tahiti
TIJ,MMTJ,General Abelardo L. Rodriguez International Airport,Tijuana,MX,32.54104,-116.96998,149,America/Tijuana
TIM,WAYY,Mozes Kilangin Airport,Timika,ID,-4.52978,136.88739,31,Asia/Jayapura
TIN,DAOF,Tindouf Airport,Tindouf,DZ,27.70040,-8.16710,443,Africa/Algiers
TIQ,PGWT,Francisco Manglona Borja / Tinian International Airport,Tinian Island,MP,14.99921,145.61936,83,Pacific/Saipan
TIR,VOTP,Tirupati International Airport,Tirupati,IN,13.63199,79.53987,107,Asia/Kolkata
TIU,NZTU,Timaru Airport,,NZ,-44.30280,171.22501,27,Pacific/Auckland
TIV,LYTV,Tivat Airport,Tivat,ME,42.40470,18.72330,6,Europe/Podgorica
TIW,KTIW,Tacoma Narrows Airport,Tacoma,US,47.26741,-122.57730,90,America/Los_Angeles
TJA,SLTJ,Capitan Oriel Lea Plaza Airport,Tarija,BO,-21.55570,-64.70130,1853,America/La_Paz
TJG,WAON,Warukin Airport,Tanta-Tabalong,ID,-2.21656,115.43600,60,Asia/Makassar
TJH,RJBT,Konotori Tajima Airport,Toyooka,JP,35.51280,134.78700,178,Asia/Tokyo
TJK,LTAW,Tokat Airport,Tokat,TR,40.32472,36.39056,567,Europe/Istanbul
TJM,USTR,Roshchino International Airport,Tyumen,RU,57.17898,65.32770,115,Asia/Yekaterinburg
TJU,UTDK,Kulob International Airport,Kulob,TJ,37.98810,69.80500,699,Asia/Dushanbe
TKD,DGTK,Takoradi Airport,Sekondi-Takoradi,GH,4.89606,-1.77476,6,Africa/Accra
TKF,KTRK,Truckee Tahoe Airport,Truckee,US,39.31863,-120.14056,1798,America/Los_Angeles
TKG,WILL,Radin Inten II International Airport,Bandar Lampung,ID,-5.24680,105.18253,86,Asia/Jakarta
TKK,PTKK,Chuuk International Airport,Weno Island,FM,7.46187,151.84300,3,Pacific/Chuuk
TKN,RJKN,Tokunoshima Airport,Amagi,JP,27.83638,128.88136,5,Asia/Tokyo
TKP,NTGT,Takapoto Airport,,PF,-14.70950,-145.24600,4,Pacific/Tahiti
TKS,RJOS,Tokushima Awaodori Airport / JMSDF Tokushima Air Base,Tokushima,JP,34.13256,134.60782,8,Asia/Tokyo
TKU,EFTU,Turku Airport,Turku,FI,60.51410,22.26280,49,Europe/Helsinki
TKX,NTKR,Takaroa Airport,,PF,-14.45580,-145.02499,4,Pacific/Tahiti
TLC,MMTO,Adolfo López Mateos International Airport,Toluca,MX,19.33690,-99.56583,2580,America/Mexico_City
TLE,FMST,Toliara Airport,Toliara,MG,-23.38340,43.72850,9,Indian/Antananarivo
TLH,KTLH,Tallahassee International Airport,Tallahassee,US,30.40121,-84.35433,25,America/New_York
TLL,EETN,Lennart Meri Tallinn Airport,Tallinn,EE,59.41325,24.83264,40,Europe/Tallinn
TLM,DAON,Zenata – Messali El Hadj Airport,Zenata,DZ,35.01273,-1.45712,248,Africa/Algiers
TLN,LFTH,Toulon-Hyères Airport,"Hyères, Var",FR,43.09730,6.14603,2,Europe/Paris
TLQ,ZWTL,Turpan Jiaohe Airport,Turpan,CN,43.03080,89.09870,285,Asia/Urumqi
TLS,LFBO,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,43.62910,1.36382,152,Europe/Paris
TLV,LLBG,Ben Gurion International Airport,Tel Aviv,IL,32.01140,34.88670,41,Asia/Jerusalem
TME,SKTM,Gustavo Vargas Airport,Tame,CO,6.45108,-71.76030,320,America/Bogota
TMH,WAKT,Tanah Merah Airport,Tanah Merah,ID,-6.09669,140.30352,17,Asia/Jayapura
TMJ,UZST,Termez Airport,Termez,UZ,37.28726,67.31187,313,Asia/Samarkand
TML,DGLE,Yakubu Tali International Airport,Tamale,GH,9.55391,-0.86606,169,Africa/Accra
TMM,FMMT,Toamasina Ambalamanasy Airport,Toamasina,MG,-18.11354,49.39226,7,Indian/Antananarivo
TMP,EFTP,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,61.41410,23.60440,119,Europe/Helsinki
TMR,DAAT,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,DZ,22.81099,5.45083,1377,Africa/Algiers
TMS,FPST,São Tomé International Airport,São Tomé,ST,0.37817,6.71215,10,Africa/Sao_Tome
TMT,SBTB,Trombetas Airport,Oriximiná,BR,-1.48960,-56.39680,51,America/Santarem
TMW,YSTW,Tamworth Airport,Tamworth,AU,-31.07790,150.84548,407,Australia/Sydney
TMX,DAUT,Timimoun Airport,Timimoun,DZ,29.23710,0.27603,313,Africa/Algiers
TNA,ZSJN,Jinan Yaoqiang International Airport,Jinan (Licheng),CN,36.85720,117.21600,23,Asia/Shanghai
TND,MUTD,Alberto Delgado Airport,Trinidad,CU,21.78830,-79.99720,38,America/Havana
TNE,RJFG,New Tanegashima Airport,Tanegashima,JP,30.60510,130.99100,234,Asia/Tokyo
TNG,GMTT,Tangier Ibn Battuta Airport,Tangier,MA,35.73174,-5.92146,19,Africa/Casablanca
TNH,ZYTN,Tonghua Sanyuanpu Airport,Tonghua,CN,42.04843,125.73396,411,Asia/Shanghai
TNJ,WIDN,Raja Haji Fisabilillah International Airport,Tanjung Pinang-Bintan Island,ID,0.92397,104.53341,16,Asia/Jakarta
TNN,RCNN,Tainan International Airport / Tainan Air Base,Tainan (Rende),TW,22.95040,120.20600,19,Asia/Taipei
TNR,FMMI,Ivato International Airport,Antananarivo,MG,-18.79690,47.47880,1280,Indian/Antananarivo
TOD,WMBT,Tioman Airport,Tioman Island,MY,2.81818,104.16000,5,Asia/Kuala_Lumpur
TOE,DTTZ,Tozeur Nefta International Airport,Tozeur,TN,33.93970,8.11056,87,Africa/Tunis
TOF,UNTT,Tomsk Kamov Airport,Tomsk,RU,56.38030,85.20830,182,Asia/Tomsk
TOL,KTOL,Eugene F. Kranz Toledo Express Airport,Toledo,US,41.58680,-83.80780,208,America/New_York
TOM,GATB,Tombouktou Airport,Timbuktu,ML,16.73050,-3.00758,263,Africa/Bamako
TOS,ENTC,Tromsø Airport,Tromsø,NO,69.68330,18.91890,9,Europe/Oslo
TOU,NWWU,Touho Airport,Touho,NC,-20.79013,165.25952,3,Pacific/Noumea
TOY,RJNT,Toyama Kitokito Airport,Toyama,JP,36.64842,137.18736,29,Asia/Tokyo
TPA,KTPA,Tampa International Airport,Tampa,US,27.97550,-82.53320,8,America/New_York
TPE,RCTP,Taiwan Taoyuan International Airport,Taoyuan,TW,25.07770,121.23300,32,Asia/Taipei
TPJ,VNTJ,Taplejung Airport,Taplejung,NP,27.35090,87.69525,2435,Asia/Kathmandu
TPP,SPST,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,PE,-6.50874,-76.37320,265,America/Lima
TPQ,MMEP,Amado Nervo National Airport,Tepic,MX,21.41983,-104.84247,920,America/Mazatlan
TPS,LICT,Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),IT,37.91140,12.48800,8,Europe/Rome
TQO,MMTL,Felipe Carrillo Puerto International Airport Tulum,Tulum,MX,20.17210,-87.66027,20,America/Cancun
TRA,RORT,Tarama Airport,Tarama,JP,24.65379,124.67545,11,Asia/Tokyo
TRC,MMTC,Francisco Sarabia Tinoco International Airport,Torreón,MX,25.56227,-103.40461,1124,America/Monterrey
TRD,ENVA,"Trondheim Airport, Værnes",Trondheim,NO,63.45780,10.92400,17,Europe/Oslo
TRE,EGPU,Tiree Airport,"Balemartine, Argyll and Bute",GB,56.49920,-6.86917,12,Europe/London
TRF,ENTO,"Sandefjord Airport, Torp",Sandefjord(Torp),NO,59.18670,10.25860,87,Europe/Oslo
TRG,NZTG,Tauranga Airport,Tauranga,NZ,-37.67190,176.19600,4,Pacific/Auckland
TRI,KTRI,Tri-Cities Regional TN/VA Airport,Blountville,US,36.47520,-82.40740,463,America/New_York
TRK,WAQQ,Juwata International Airport / Suharnoko Harbani AFB,Tarakan,ID,3.32515,117.56417,7,Asia/Makassar
TRN,LIMF,Turin Airport,Caselle Torinese (TO),IT,45.20080,7.64963,301,Europe/Rome
TRR,VCCT,China Bay Airport,Trincomalee,LK,8.53916,81.18128,2,Asia/Colombo
TRS,LIPQ,Trieste Airport,Ronchi dei Legionari/Trieste,IT,45.82786,13.46667,12,Europe/Rome
TRT,WAFB,Toraja Airport,Toraja,ID,-3.18436,119.91910,879,Asia/Makassar
TRU,SPRU,Capitán FAP Carlos Martínez de Pinillos International Airport,Trujillo,PE,-8.08238,-79.10882,32,America/Lima
TRV,VOTV,Thiruvananthapuram International Airport,Thiruvananthapuram,IN,8.48189,76.92003,5,Asia/Kolkata
TRW,NGTA,Bonriki International Airport,South Tarawa,KI,1.38164,173.14700,3,Pacific/Tarawa
TRZ,VOTR,Tiruchirappalli International Airport,Tiruchirappalli,IN,10.76291,78.71774,88,Asia/Kolkata
TSA,RCSS,Taipei Songshan International Airport,Taipei (Songshan),TW,25.06724,121.55282,5,Asia/Taipei
TSF,LIPH,Treviso Airport,Treviso (TV),IT,45.64840,12.19440,18,Europe/Rome
TSJ,RJDT,Tsushima Airport,Tsushima,JP,34.28490,129.33099,65,Asia/Tokyo
TSM,KSKX,Taos Regional Airport,Taos,US,36.45249,-105.67749,2163,America/Denver
TSN,ZBTJ,Tianjin Binhai International Airport,Tianjin,CN,39.12440,117.34600,3,Asia/Shanghai
TSR,LRTR,Timișoara Traian Vuia International Airport,Timişoara,RO,45.80990,21.33790,106,Europe/Bucharest
TST,VTST,Trang Airport,Trang,TH,7.50874,99.61660,20,Asia/Bangkok
TSV,YBTL,Townsville Airport / RAAF Base Townsville,Townsville,AU,-19.25290,146.76651,5,Australia/Brisbane
TTA,GMAT,Tan Tan Airport,Tan Tan,MA,28.44756,-11.16175,199,Africa/Casablanca
TTE,WAEE,Sultan Babullah Airport,Ternate,ID,0.83101,127.38161,15,Asia/Jayapura
TTJ,RJOR,Tottori Sand Dunes Conan Airport,Tottori,JP,35.53006,134.16502,20,Asia/Tokyo
TTN,KTTN,Trenton Mercer Airport,Ewing Township,US,40.27670,-74.81350,65,America/New_York
TTT,RCFN,Taitung Airport,Taitung City,TW,22.75486,121.10179,44,Asia/Taipei
TTU,GMTN,Sania Ramel Airport,Tétouan,MA,35.59430,-5.32002,3,Africa/Casablanca
TUA,SETU,Lieutenant Colonel Luis A. Mantilla International Airport,Tulcán,EC,0.80951,-77.70810,2941,America/Guayaquil
TUB,NTAT,Tubuai Airport,,PF,-23.36540,-149.52400,2,Pacific/Tahiti
TUC,SANT,Teniente Benjamín Matienzo International Airport,San Miguel de Tucumán,AR,-26.83740,-65.10420,455,America/Argentina/Tucuman
TUF,LFOT,Tours Val de Loire Airport,"Tours, Indre-et-Loire",FR,47.43220,0.72761,109,Europe/Paris
TUG,RPUT,Tuguegarao Airport,Tuguegarao City,PH,17.64337,121.73315,21,Asia/Manila
TUI,OETR,Turaif Domestic Airport,Turaif,SA,31.69219,38.73154,854,Asia/Riyadh
TUK,OPTU,Turbat International Airport,Turbat,PK,25.98477,63.02886,152,Asia/Karachi
TUL,KTUL,Tulsa International Airport,Tulsa,US,36.19708,-95.88622,206,America/Chicago
TUN,DTTA,Tunis Carthage International Airport,Tunis,TN,36.85100,10.22720,7,Africa/Tunis
TUO,NZAP,Taupo Airport,Taupo,NZ,-38.73970,176.08400,407,Pacific/Auckland
TUP,KTUP,Tupelo Regional Airport,Tupelo,US,34.26810,-88.76990,105,America/Chicago
TUR,SBTU,Tucuruí Airport,Tucuruí,BR,-3.78601,-49.72030,253,America/Belem
TUS,KTUS,Tucson International Airport,Tucson,US,32.11500,-110.93805,806,America/Phoenix
TUU,OETB,Prince Sultan bin Abdulaziz International Airport,Tabuk,SA,28.37110,36.62486,778,Asia/Riyadh
TVC,KTVC,Cherry Capital Airport,Traverse City,US,44.74140,-85.58220,190,America/Detroit
TVF,KTVF,Thief River Falls Regional Airport,Thief River Falls,US,48.06570,-96.18500,341,America/Chicago
TVT,UZTP,Tashkent-Khumo International Airport,Tashkent,UZ,41.31289,69.39553,480,Asia/Tashkent
TVY,VYDW,Dawei Airport,Dawei,MM,14.10390,98.20360,26,Asia/Yangon
TWF,KTWF,Joslin Field Magic Valley Regional Airport,Twin Falls,US,42.48180,-114.48800,1266,America/Boise
TWT,RPMN,Sanga Sanga Airport,Bongao,PH,5.04820,119.74334,5,Asia/Manila
TWU,WBKW,Tawau Airport,Tawau,MY,4.31338,118.12152,17,Asia/Kuching
TXE,WITK,Rembele Airport,Takengon,ID,4.72113,96.85194,1417,Asia/Jakarta
TXK,KTXK,Texarkana Regional Airport (Webb Field),Texarkana,US,33.45370,-93.99100,119,America/Chicago
TXN,ZSTX,Huangshan Tunxi International Airport,Huangshan,CN,29.73330,118.25600,0,Asia/Shanghai
TYF,ESST,Torsby Airport,Torsby,SE,60.15760,12.99130,120,Europe/Stockholm
TYL,SPYL,Captain Victor Montes Arias International Airport,Talara,PE,-4.57664,-81.25410,86,America/Lima
TYN,ZBYN,Taiyuan Wusu International Airport,Taiyuan,CN,37.74690,112.62800,785,Asia/Shanghai
TYR,KTYR,Tyler Pounds Regional Airport,Tyler,US,32.35410,-95.40240,166,America/Chicago
TYS,KTYS,McGhee Tyson Airport,Knoxville/Maryville,US,35.81100,-83.99400,299,America/New_York
TZA,MZBE,Sir Barry Bowen Municipal Airport,Belize City,BZ,17.51724,-88.19577,2,America/Belize
TZL,LQTZ,Tuzla International Airport,Dubrave Gornje,BA,44.45986,18.72363,239,Europe/Sarajevo
TZN,MYAK,Congo Town Airport,Andros,BS,24.15870,-77.58980,5,America/Nassau
TZX,LTCG,Trabzon International Airport,Trabzon,TR,40.99510,39.78970,32,Europe/Istanbul
UAI,WPDB,"Commander in Chief of FALINTIL, Kay Rala Xanana Gusmão, International Airport",Suai,TL,-9.30186,125.28630,29,Asia/Dili
UAQ,SANU,Domingo Faustino Sarmiento Airport,San Juan,AR,-31.57150,-68.41820,597,America/Argentina/San_Juan
UAR,GMFB,Bouarfa Airport,Bouarfa,MA,32.51431,-1.98306,1106,Africa/Casablanca
UBA,SBUR,Mário de Almeida Franco Airport,Uberaba,BR,-19.76504,-47.96480,809,America/Sao_Paulo
UBJ,RJDC,Yamaguchi Ube Airport,Ube,JP,33.93000,131.27901,7,Asia/Tokyo
UBN,ZMCK,Ulaanbaatar Chinggis Khaan International Airport,Ulaanbaatar (Sergelen),MN,47.64692,106.81983,1366,Asia/Ulaanbaatar
UBP,VTUU,Ubon Ratchathani Airport,Ubon Ratchathani,TH,15.25130,104.87000,124,Asia/Bangkok
UCB,ZBUC,Ulanqab Jining Airport,Ulanqab,CN,41.13027,113.10727,0,Asia/Shanghai
UCT,UUYH,Ukhta Airport,Ukhta,RU,63.56690,53.80470,147,Europe/Moscow
UDI,SBUL,Ten. Cel. Aviador César Bombonato Airport,Uberlândia,BR,-18.88358,-48.22594,943,America/Sao_Paulo
UDR,VAUD,Maharana Pratap Airport,Udaipur,IN,24.61770,73.89610,513,Asia/Kolkata
UEL,FQQL,Quelimane Airport,Quelimane,MZ,-17.85550,36.86910,11,Africa/Maputo
